"Kod";"Nazwa";"Płeć";"Lokalizacje";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1995";67,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1996";68,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1997";68,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1998";68,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"1999";68,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2000";69,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2001";70,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2002";70,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2003";70,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2004";70,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2005";70,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2006";70,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2007";71,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2008";71,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2009";71,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2010";72,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2011";72,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2012";72,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2013";73,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2014";73,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2015";73,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2016";73,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2017";74,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2018";73,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2019";74,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2020";72,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"ogółem";"0";"2021";;"lata";"n";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"1995";67,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"1996";68,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"1997";68,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"1998";69,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"1999";69,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2000";70,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2001";70,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2002";70,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2003";70,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2004";70,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2005";71,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2006";71,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2007";71,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2008";71,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2009";71,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2010";72,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2011";73,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2012";73,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2013";73,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2014";74,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2015";74,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2016";74,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2017";74,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2018";74,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2019";74,5;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2020";72,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"w miastach";"0";"2021";;"lata";"n";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"1995";67,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"1996";67,8;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"1997";68,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"1998";68,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"1999";68,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2000";69,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2001";69,9;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2002";70,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2003";70,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2004";70,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2005";70,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2006";70,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2007";70,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2008";70,7;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2009";71,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2010";71,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2011";71,6;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2012";72,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2013";72,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2014";73,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2015";73,0;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2016";73,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2017";73,3;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2018";73,2;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2019";73,4;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2020";72,1;"lata";"";
0000000;"POLSKA";"mężczyźni";"na wsi";"0";"2021";;"lata";"n";
0000000;"POLSKA";"kobiety";"ogółem";"0";"1995";76,4;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"1996";76,6;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"1997";77,0;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"1998";77,3;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"1999";77,5;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2000";78,0;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2001";78,4;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2002";78,8;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2003";78,9;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2004";79,2;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2005";79,4;"lata";"";
0000000;"POLSKA";"kobiety";"ogółem";"0";"2006";79,6;"lata";"";
