"Kod";"Nazwa";"Lokalizacja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0609062;"Jabłonna (2)";"ogółem";"2020";26;"-";"";
0609072;"Jastków (2)";"ogółem";"2020";47;"-";"";
0609082;"Konopnica (2)";"ogółem";"2020";48;"-";"";
0609092;"Krzczonów (2)";"ogółem";"2020";12;"-";"";
0609102;"Niedrzwica Duża (2)";"ogółem";"2020";45;"-";"";
0609112;"Niemce (2)";"ogółem";"2020";66;"-";"";
0609122;"Strzyżewice (2)";"ogółem";"2020";30;"-";"";
0609132;"Wojciechów (2)";"ogółem";"2020";15;"-";"";
0609142;"Wólka (2)";"ogółem";"2020";42;"-";"";
0609152;"Wysokie (2)";"ogółem";"2020";11;"-";"";
0609162;"Zakrzew (2)";"ogółem";"2020";11;"-";"";
0610012;"Cyców (2)";"ogółem";"2020";34;"-";"";
0610022;"Ludwin (2)";"ogółem";"2020";25;"-";"";
0610033;"Łęczna (3)";"ogółem";"2020";89;"-";"";
0610042;"Milejów (2)";"ogółem";"2020";43;"-";"";
0610052;"Puchaczów (2)";"ogółem";"2020";21;"-";"";
0610062;"Spiczyn (2)";"ogółem";"2020";16;"-";"";
0611011;"Łuków (1)";"ogółem";"2020";112;"-";"";
0611021;"Stoczek Łukowski (1)";"ogółem";"2020";12;"-";"";
0611032;"Adamów (2)";"ogółem";"2020";25;"-";"";
0611042;"Krzywda (2)";"ogółem";"2020";48;"-";"";
0611052;"Łuków (2)";"ogółem";"2020";80;"-";"";
0611062;"Serokomla (2)";"ogółem";"2020";17;"-";"";
0611072;"Stanin (2)";"ogółem";"2020";31;"-";"";
0611082;"Stoczek Łukowski (2)";"ogółem";"2020";35;"-";"";
0611092;"Trzebieszów (2)";"ogółem";"2020";48;"-";"";
0611102;"Wojcieszków (2)";"ogółem";"2020";33;"-";"";
0611112;"Wola Mysłowska (2)";"ogółem";"2020";18;"-";"";
0612012;"Chodel (2)";"ogółem";"2020";33;"-";"";
0612023;"Józefów nad Wisłą (3)";"ogółem";"2020";28;"-";"";
0612032;"Karczmiska (2)";"ogółem";"2020";21;"-";"";
0612042;"Łaziska (2)";"ogółem";"2020";16;"-";"";
0612053;"Opole Lubelskie (3)";"ogółem";"2020";49;"-";"";
0612063;"Poniatowa (3)";"ogółem";"2020";42;"-";"";
0612072;"Wilków (2)";"ogółem";"2020";9;"-";"";
0613012;"Dębowa Kłoda (2)";"ogółem";"2020";19;"-";"";
0613022;"Jabłoń (2)";"ogółem";"2020";17;"-";"";
0613032;"Milanów (2)";"ogółem";"2020";13;"-";"";
0613043;"Parczew (3)";"ogółem";"2020";52;"-";"";
0613052;"Podedwórze (2)";"ogółem";"2020";7;"-";"";
0613062;"Siemień (2)";"ogółem";"2020";18;"-";"";
0613072;"Sosnowica (2)";"ogółem";"2020";5;"-";"";
0614011;"Puławy (1)";"ogółem";"2020";152;"-";"";
0614022;"Baranów (2)";"ogółem";"2020";18;"-";"";
0614032;"Janowiec (2)";"ogółem";"2020";7;"-";"";
0614043;"Kazimierz Dolny (3)";"ogółem";"2020";27;"-";"";
0614052;"Końskowola (2)";"ogółem";"2020";27;"-";"";
0614062;"Kurów (2)";"ogółem";"2020";28;"-";"";
0614072;"Markuszów (2)";"ogółem";"2020";12;"-";"";
0614083;"Nałęczów (3)";"ogółem";"2020";18;"-";"";
0614092;"Puławy (2)";"ogółem";"2020";44;"-";"";
0614102;"Wąwolnica (2)";"ogółem";"2020";14;"-";"";
0614112;"Żyrzyn (2)";"ogółem";"2020";25;"-";"";
0615011;"Radzyń Podlaski (1)";"ogółem";"2020";53;"-";"";
0615022;"Borki (2)";"ogółem";"2020";29;"-";"";
0615032;"Czemierniki (2)";"ogółem";"2020";20;"-";"";
0615042;"Kąkolewnica (2)";"ogółem";"2020";46;"-";"";
0615052;"Komarówka Podlaska (2)";"ogółem";"2020";17;"-";"";
0615062;"Radzyń Podlaski (2)";"ogółem";"2020";32;"-";"";
0615072;"Ulan-Majorat (2)";"ogółem";"2020";33;"-";"";
0615082;"Wohyń (2)";"ogółem";"2020";30;"-";"";
0616011;"Dęblin (1)";"ogółem";"2020";44;"-";"";
0616022;"Kłoczew (2)";"ogółem";"2020";29;"-";"";
0616032;"Nowodwór (2)";"ogółem";"2020";26;"-";"";
0616043;"Ryki (3)";"ogółem";"2020";84;"-";"";
0616052;"Stężyca (2)";"ogółem";"2020";15;"-";"";
0616062;"Ułęż (2)";"ogółem";"2020";3;"-";"";
0617011;"Świdnik (1)";"ogółem";"2020";154;"-";"";
0617022;"Mełgiew (2)";"ogółem";"2020";35;"-";"";
0617033;"Piaski (3)";"ogółem";"2020";41;"-";"";
0617042;"Rybczewice (2)";"ogółem";"2020";6;"-";"";
0617052;"Trawniki (2)";"ogółem";"2020";29;"-";"";
0618011;"Tomaszów Lubelski (1)";"ogółem";"2020";71;"-";"";
0618022;"Bełżec (2)";"ogółem";"2020";19;"-";"";
0618032;"Jarczów (2)";"ogółem";"2020";23;"-";"";
0618042;"Krynice (2)";"ogółem";"2020";14;"-";"";
0618053;"Lubycza Królewska (3)";"ogółem";"2020";22;"-";"";
0618063;"Łaszczów (3)";"ogółem";"2020";16;"-";"";
0618072;"Rachanie (2)";"ogółem";"2020";18;"-";"";
0618082;"Susiec (2)";"ogółem";"2020";34;"-";"";
0618092;"Tarnawatka (2)";"ogółem";"2020";15;"-";"";
0618102;"Telatyn (2)";"ogółem";"2020";18;"-";"";
0618112;"Tomaszów Lubelski (2)";"ogółem";"2020";31;"-";"";
0618123;"Tyszowce (3)";"ogółem";"2020";21;"-";"";
0618132;"Ulhówek (2)";"ogółem";"2020";22;"-";"";
0619011;"Włodawa (1)";"ogółem";"2020";47;"-";"";
0619022;"Hanna (2)";"ogółem";"2020";7;"-";"";
0619032;"Hańsk (2)";"ogółem";"2020";11;"-";"";
0619042;"Stary Brus (2)";"ogółem";"2020";13;"-";"";
0619052;"Urszulin (2)";"ogółem";"2020";18;"-";"";
0619062;"Włodawa (2)";"ogółem";"2020";19;"-";"";
0619072;"Wola Uhruska (2)";"ogółem";"2020";8;"-";"";
0619082;"Wyryki (2)";"ogółem";"2020";8;"-";"";
0620012;"Adamów (2)";"ogółem";"2020";25;"-";"";
0620022;"Grabowiec (2)";"ogółem";"2020";19;"-";"";
0620032;"Komarów-Osada (2)";"ogółem";"2020";21;"-";"";
0620043;"Krasnobród (3)";"ogółem";"2020";33;"-";"";
0620052;"Łabunie (2)";"ogółem";"2020";31;"-";"";
0620062;"Miączyn (2)";"ogółem";"2020";15;"-";"";
0620072;"Nielisz (2)";"ogółem";"2020";21;"-";"";
0620082;"Radecznica (2)";"ogółem";"2020";26;"-";"";
0620092;"Sitno (2)";"ogółem";"2020";20;"-";"";
0620102;"Skierbieszów (2)";"ogółem";"2020";16;"-";"";
0620112;"Stary Zamość (2)";"ogółem";"2020";15;"-";"";
0620122;"Sułów (2)";"ogółem";"2020";17;"-";"";
0620133;"Szczebrzeszyn (3)";"ogółem";"2020";43;"-";"";
0620142;"Zamość (2)";"ogółem";"2020";96;"-";"";
0620153;"Zwierzyniec (3)";"ogółem";"2020";26;"-";"";
0661011;"Biała Podlaska (1)";"ogółem";"2020";233;"-";"";
0662011;"Chełm (1)";"ogółem";"2020";192;"-";"";
0663011;"Lublin (1)";"ogółem";"2020";1402;"-";"";
0664011;"Zamość (1)";"ogółem";"2020";199;"-";"";
0801011;"Kostrzyn nad Odrą (1)";"ogółem";"2020";72;"-";"";
0801022;"Bogdaniec (2)";"ogółem";"2020";16;"-";"";
0801032;"Deszczno (2)";"ogółem";"2020";22;"-";"";
0801042;"Kłodawa (2)";"ogółem";"2020";29;"-";"";
0801052;"Lubiszyn (2)";"ogółem";"2020";23;"-";"";
0801062;"Santok (2)";"ogółem";"2020";22;"-";"";
0801073;"Witnica (3)";"ogółem";"2020";33;"-";"";
0802011;"Gubin (1)";"ogółem";"2020";63;"-";"";
0802022;"Bobrowice (2)";"ogółem";"2020";6;"-";"";
0802032;"Bytnica (2)";"ogółem";"2020";7;"-";"";
0802042;"Dąbie (2)";"ogółem";"2020";13;"-";"";
0802052;"Gubin (2)";"ogółem";"2020";18;"-";"";
0802063;"Krosno Odrzańskie (3)";"ogółem";"2020";68;"-";"";
0802072;"Maszewo (2)";"ogółem";"2020";7;"-";"";
0803012;"Bledzew (2)";"ogółem";"2020";21;"-";"";
0803023;"Międzyrzecz (3)";"ogółem";"2020";86;"-";"";
0803032;"Przytoczna (2)";"ogółem";"2020";19;"-";"";
0803042;"Pszczew (2)";"ogółem";"2020";11;"-";"";
0803053;"Skwierzyna (3)";"ogółem";"2020";40;"-";"";
0803063;"Trzciel (3)";"ogółem";"2020";22;"-";"";
0804011;"Nowa Sól (1)";"ogółem";"2020";129;"-";"";
0804023;"Bytom Odrzański (3)";"ogółem";"2020";25;"-";"";
0804032;"Kolsko (2)";"ogółem";"2020";12;"-";"";
0804043;"Kożuchów (3)";"ogółem";"2020";58;"-";"";
0804052;"Nowa Sól (2)";"ogółem";"2020";20;"-";"";
0804063;"Nowe Miasteczko (3)";"ogółem";"2020";19;"-";"";
0804073;"Otyń (3)";"ogółem";"2020";26;"-";"";
0804082;"Siedlisko (2)";"ogółem";"2020";16;"-";"";
0805013;"Cybinka (3)";"ogółem";"2020";24;"-";"";
0805022;"Górzyca (2)";"ogółem";"2020";14;"-";"";
0805033;"Ośno Lubuskie (3)";"ogółem";"2020";31;"-";"";
0805043;"Rzepin (3)";"ogółem";"2020";39;"-";"";
0805053;"Słubice (3)";"ogółem";"2020";94;"-";"";
0806013;"Dobiegniew (3)";"ogółem";"2020";19;"-";"";
0806023;"Drezdenko (3)";"ogółem";"2020";43;"-";"";
0806032;"Stare Kurowo (2)";"ogółem";"2020";20;"-";"";
0806043;"Strzelce Krajeńskie (3)";"ogółem";"2020";55;"-";"";
0806052;"Zwierzyn (2)";"ogółem";"2020";12;"-";"";
0807012;"Krzeszyce (2)";"ogółem";"2020";19;"-";"";
0807023;"Lubniewice (3)";"ogółem";"2020";11;"-";"";
0807032;"Słońsk (2)";"ogółem";"2020";19;"-";"";
0807043;"Sulęcin (3)";"ogółem";"2020";58;"-";"";
0807053;"Torzym (3)";"ogółem";"2020";25;"-";"";
0808012;"Lubrza (2)";"ogółem";"2020";9;"-";"";
0808022;"Łagów (2)";"ogółem";"2020";13;"-";"";
0808032;"Skąpe (2)";"ogółem";"2020";18;"-";"";
0808042;"Szczaniec (2)";"ogółem";"2020";15;"-";"";
0808053;"Świebodzin (3)";"ogółem";"2020";102;"-";"";
0808063;"Zbąszynek (3)";"ogółem";"2020";30;"-";"";
0809013;"Babimost (3)";"ogółem";"2020";33;"-";"";
0809022;"Bojadła (2)";"ogółem";"2020";17;"-";"";
0809033;"Czerwieńsk (3)";"ogółem";"2020";42;"-";"";
0809043;"Kargowa (3)";"ogółem";"2020";35;"-";"";
0809053;"Nowogród Bobrzański (3)";"ogółem";"2020";40;"-";"";
0809063;"Sulechów (3)";"ogółem";"2020";104;"-";"";
0809072;"Świdnica (2)";"ogółem";"2020";22;"-";"";
0809082;"Trzebiechów (2)";"ogółem";"2020";10;"-";"";
0809092;"Zabór (2)";"ogółem";"2020";14;"-";"";
0810011;"Gozdnica (1)";"ogółem";"2020";10;"-";"";
0810021;"Żagań (1)";"ogółem";"2020";108;"-";"";
0810032;"Brzeźnica (2)";"ogółem";"2020";10;"-";"";
0810043;"Iłowa (3)";"ogółem";"2020";28;"-";"";
0810053;"Małomice (3)";"ogółem";"2020";15;"-";"";
0810062;"Niegosławice (2)";"ogółem";"2020";16;"-";"";
0810073;"Szprotawa (3)";"ogółem";"2020";73;"-";"";
0810082;"Wymiarki (2)";"ogółem";"2020";3;"-";"";
0810092;"Żagań (2)";"ogółem";"2020";29;"-";"";
0811011;"Łęknica (1)";"ogółem";"2020";9;"-";"";
0811021;"Żary (1)";"ogółem";"2020";117;"-";"";
0811032;"Brody (2)";"ogółem";"2020";9;"-";"";
0811043;"Jasień (3)";"ogółem";"2020";23;"-";"";
0811052;"Lipinki Łużyckie (2)";"ogółem";"2020";11;"-";"";
0811063;"Lubsko (3)";"ogółem";"2020";71;"-";"";
0811072;"Przewóz (2)";"ogółem";"2020";10;"-";"";
0811082;"Trzebiel (2)";"ogółem";"2020";20;"-";"";
0811092;"Tuplice (2)";"ogółem";"2020";8;"-";"";
0811102;"Żary (2)";"ogółem";"2020";41;"-";"";
0812013;"Sława (3)";"ogółem";"2020";42;"-";"";
0812023;"Szlichtyngowa (3)";"ogółem";"2020";13;"-";"";
0812033;"Wschowa (3)";"ogółem";"2020";66;"-";"";
0861011;"Gorzów Wielkopolski (1)";"ogółem";"2020";443;"-";"";
0862011;"Zielona Góra (1)";"ogółem";"2020";446;"-";"";
1001011;"Bełchatów (1)";"ogółem";"2020";220;"-";"";
1001022;"Bełchatów (2)";"ogółem";"2020";34;"-";"";
1001032;"Drużbice (2)";"ogółem";"2020";20;"-";"";
1001042;"Kleszczów (2)";"ogółem";"2020";20;"-";"";
1001052;"Kluki (2)";"ogółem";"2020";17;"-";"";
1001062;"Rusiec (2)";"ogółem";"2020";12;"-";"";
1001072;"Szczerców (2)";"ogółem";"2020";31;"-";"";
1001083;"Zelów (3)";"ogółem";"2020";41;"-";"";
1002011;"Kutno (1)";"ogółem";"2020";170;"-";"";
1002022;"Bedlno (2)";"ogółem";"2020";19;"-";"";
1002032;"Dąbrowice (2)";"ogółem";"2020";7;"-";"";
1002043;"Krośniewice (3)";"ogółem";"2020";29;"-";"";
1002052;"Krzyżanów (2)";"ogółem";"2020";19;"-";"";
1002062;"Kutno (2)";"ogółem";"2020";33;"-";"";
1002072;"Łanięta (2)";"ogółem";"2020";6;"-";"";
1002082;"Nowe Ostrowy (2)";"ogółem";"2020";8;"-";"";
1002092;"Oporów (2)";"ogółem";"2020";13;"-";"";
1002102;"Strzelce (2)";"ogółem";"2020";17;"-";"";
1002113;"Żychlin (3)";"ogółem";"2020";30;"-";"";
1003012;"Buczek (2)";"ogółem";"2020";16;"-";"";
1003023;"Łask (3)";"ogółem";"2020";89;"-";"";
1003032;"Sędziejowice (2)";"ogółem";"2020";24;"-";"";
1003042;"Widawa (2)";"ogółem";"2020";28;"-";"";
1003052;"Wodzierady (2)";"ogółem";"2020";18;"-";"";
1004011;"Łęczyca (1)";"ogółem";"2020";58;"-";"";
1004022;"Daszyna (2)";"ogółem";"2020";16;"-";"";
1004032;"Góra Świętej Małgorzaty (2)";"ogółem";"2020";20;"-";"";
1004042;"Grabów (2)";"ogółem";"2020";20;"-";"";
1004052;"Łęczyca (2)";"ogółem";"2020";39;"-";"";
1004063;"Piątek (3)";"ogółem";"2020";30;"-";"";
1004072;"Świnice Warckie (2)";"ogółem";"2020";13;"-";"";
1004082;"Witonia (2)";"ogółem";"2020";11;"-";"";
1005011;"Łowicz (1)";"ogółem";"2020";93;"-";"";
1005022;"Bielawy (2)";"ogółem";"2020";13;"-";"";
1005032;"Chąśno (2)";"ogółem";"2020";9;"-";"";
1005042;"Domaniewice (2)";"ogółem";"2020";12;"-";"";
1005052;"Kiernozia (2)";"ogółem";"2020";12;"-";"";
1005062;"Kocierzew Południowy (2)";"ogółem";"2020";25;"-";"";
1005072;"Łowicz (2)";"ogółem";"2020";22;"-";"";
1005082;"Łyszkowice (2)";"ogółem";"2020";28;"-";"";
1005092;"Nieborów (2)";"ogółem";"2020";32;"-";"";
1005102;"Zduny (2)";"ogółem";"2020";24;"-";"";
1006022;"Andrespol (2)";"ogółem";"2020";40;"-";"";
1006032;"Brójce (2)";"ogółem";"2020";17;"-";"";
1006073;"Koluszki (3)";"ogółem";"2020";76;"-";"";
1006082;"Nowosolna (2)";"ogółem";"2020";19;"-";"";
1006103;"Rzgów (3)";"ogółem";"2020";27;"-";"";
1006113;"Tuszyn (3)";"ogółem";"2020";38;"-";"";
1007012;"Białaczów (2)";"ogółem";"2020";23;"-";"";
1007023;"Drzewica (3)";"ogółem";"2020";36;"-";"";
1007032;"Mniszków (2)";"ogółem";"2020";21;"-";"";
1007043;"Opoczno (3)";"ogółem";"2020";123;"-";"";
1007052;"Paradyż (2)";"ogółem";"2020";18;"-";"";
1007062;"Poświętne (2)";"ogółem";"2020";9;"-";"";
1007072;"Sławno (2)";"ogółem";"2020";31;"-";"";
1007082;"Żarnów (2)";"ogółem";"2020";20;"-";"";
1008011;"Konstantynów Łódzki (1)";"ogółem";"2020";55;"-";"";
1008021;"Pabianice (1)";"ogółem";"2020";245;"-";"";
1008032;"Dłutów (2)";"ogółem";"2020";13;"-";"";
1008042;"Dobroń (2)";"ogółem";"2020";28;"-";"";
1008052;"Ksawerów (2)";"ogółem";"2020";22;"-";"";
1008062;"Lutomiersk (2)";"ogółem";"2020";28;"-";"";
1008072;"Pabianice (2)";"ogółem";"2020";29;"-";"";
1009013;"Działoszyn (3)";"ogółem";"2020";39;"-";"";
1009022;"Kiełczygłów (2)";"ogółem";"2020";10;"-";"";
1009032;"Nowa Brzeźnica (2)";"ogółem";"2020";28;"-";"";
1009043;"Pajęczno (3)";"ogółem";"2020";33;"-";"";
1009052;"Rząśnia (2)";"ogółem";"2020";15;"-";"";
1009062;"Siemkowice (2)";"ogółem";"2020";22;"-";"";
1009072;"Strzelce Wielkie (2)";"ogółem";"2020";18;"-";"";
1009082;"Sulmierzyce (2)";"ogółem";"2020";3;"-";"";
1010012;"Aleksandrów (2)";"ogółem";"2020";12;"-";"";
1010022;"Czarnocin (2)";"ogółem";"2020";17;"-";"";
1010032;"Gorzkowice (2)";"ogółem";"2020";25;"-";"";
1010042;"Grabica (2)";"ogółem";"2020";20;"-";"";
1010052;"Łęki Szlacheckie (2)";"ogółem";"2020";18;"-";"";
1010062;"Moszczenica (2)";"ogółem";"2020";41;"-";"";
1010072;"Ręczno (2)";"ogółem";"2020";15;"-";"";
1010082;"Rozprza (2)";"ogółem";"2020";47;"-";"";
1010093;"Sulejów (3)";"ogółem";"2020";63;"-";"";
1010102;"Wola Krzysztoporska (2)";"ogółem";"2020";39;"-";"";
1010113;"Wolbórz (3)";"ogółem";"2020";28;"-";"";
1011012;"Dalików (2)";"ogółem";"2020";14;"-";"";
1011022;"Pęczniew (2)";"ogółem";"2020";8;"-";"";
1011033;"Poddębice (3)";"ogółem";"2020";58;"-";"";
1011043;"Uniejów (3)";"ogółem";"2020";29;"-";"";
1011052;"Wartkowice (2)";"ogółem";"2020";24;"-";"";
1011062;"Zadzim (2)";"ogółem";"2020";21;"-";"";
1012011;"Radomsko (1)";"ogółem";"2020";168;"-";"";
1012022;"Dobryszyce (2)";"ogółem";"2020";22;"-";"";
1012032;"Gidle (2)";"ogółem";"2020";28;"-";"";
1012042;"Gomunice (2)";"ogółem";"2020";24;"-";"";
1012053;"Kamieńsk (3)";"ogółem";"2020";22;"-";"";
1012062;"Kobiele Wielkie (2)";"ogółem";"2020";18;"-";"";
1012072;"Kodrąb (2)";"ogółem";"2020";11;"-";"";
1012082;"Lgota Wielka (2)";"ogółem";"2020";18;"-";"";
1012092;"Ładzice (2)";"ogółem";"2020";12;"-";"";
1012102;"Masłowice (2)";"ogółem";"2020";14;"-";"";
1012113;"Przedbórz (3)";"ogółem";"2020";29;"-";"";
1012122;"Radomsko (2)";"ogółem";"2020";18;"-";"";
1012132;"Wielgomłyny (2)";"ogółem";"2020";25;"-";"";
1012142;"Żytno (2)";"ogółem";"2020";24;"-";"";
1013011;"Rawa Mazowiecka (1)";"ogółem";"2020";62;"-";"";
1013023;"Biała Rawska (3)";"ogółem";"2020";35;"-";"";
1013032;"Cielądz (2)";"ogółem";"2020";21;"-";"";
1013042;"Rawa Mazowiecka (2)";"ogółem";"2020";40;"-";"";
1013052;"Regnów (2)";"ogółem";"2020";13;"-";"";
1013062;"Sadkowice (2)";"ogółem";"2020";26;"-";"";
1014011;"Sieradz (1)";"ogółem";"2020";145;"-";"";
1014023;"Błaszki (3)";"ogółem";"2020";63;"-";"";
1014032;"Brąszewice (2)";"ogółem";"2020";23;"-";"";
1014042;"Brzeźnio (2)";"ogółem";"2020";22;"-";"";
1014052;"Burzenin (2)";"ogółem";"2020";21;"-";"";
1014062;"Goszczanów (2)";"ogółem";"2020";18;"-";"";
1014072;"Klonowa (2)";"ogółem";"2020";9;"-";"";
1014082;"Sieradz (2)";"ogółem";"2020";43;"-";"";
1014093;"Warta (3)";"ogółem";"2020";48;"-";"";
1014102;"Wróblew (2)";"ogółem";"2020";29;"-";"";
1014113;"Złoczew (3)";"ogółem";"2020";30;"-";"";
1015012;"Bolimów (2)";"ogółem";"2020";14;"-";"";
1015022;"Głuchów (2)";"ogółem";"2020";20;"-";"";
1015032;"Godzianów (2)";"ogółem";"2020";10;"-";"";
1015042;"Kowiesy (2)";"ogółem";"2020";9;"-";"";
1015052;"Lipce Reymontowskie (2)";"ogółem";"2020";11;"-";"";
1015062;"Maków (2)";"ogółem";"2020";21;"-";"";
1015072;"Nowy Kawęczyn (2)";"ogółem";"2020";20;"-";"";
1015082;"Skierniewice (2)";"ogółem";"2020";25;"-";"";
1015092;"Słupia (2)";"ogółem";"2020";10;"-";"";
1016011;"Tomaszów Mazowiecki (1)";"ogółem";"2020";184;"-";"";
1016022;"Będków (2)";"ogółem";"2020";14;"-";"";
1016032;"Budziszewice (2)";"ogółem";"2020";8;"-";"";
1016042;"Czerniewice (2)";"ogółem";"2020";17;"-";"";
1016052;"Inowłódz (2)";"ogółem";"2020";8;"-";"";
1016062;"Lubochnia (2)";"ogółem";"2020";36;"-";"";
1016072;"Rokiciny (2)";"ogółem";"2020";21;"-";"";
1016082;"Rzeczyca (2)";"ogółem";"2020";22;"-";"";
1016092;"Tomaszów Mazowiecki (2)";"ogółem";"2020";35;"-";"";
1016102;"Ujazd (2)";"ogółem";"2020";17;"-";"";
1016112;"Żelechlinek (2)";"ogółem";"2020";12;"-";"";
1017012;"Biała (2)";"ogółem";"2020";19;"-";"";
1017022;"Czarnożyły (2)";"ogółem";"2020";19;"-";"";
1017032;"Konopnica (2)";"ogółem";"2020";13;"-";"";
1017042;"Mokrsko (2)";"ogółem";"2020";16;"-";"";
1017052;"Osjaków (2)";"ogółem";"2020";16;"-";"";
1017062;"Ostrówek (2)";"ogółem";"2020";16;"-";"";
1017072;"Pątnów (2)";"ogółem";"2020";23;"-";"";
1017082;"Skomlin (2)";"ogółem";"2020";14;"-";"";
1017093;"Wieluń (3)";"ogółem";"2020";92;"-";"";
1017102;"Wierzchlas (2)";"ogółem";"2020";24;"-";"";
1018012;"Bolesławiec (2)";"ogółem";"2020";20;"-";"";
1018022;"Czastary (2)";"ogółem";"2020";11;"-";"";
1018032;"Galewice (2)";"ogółem";"2020";23;"-";"";
1018043;"Lututów (3)";"ogółem";"2020";21;"-";"";
1018052;"Łubnice (2)";"ogółem";"2020";12;"-";"";
1018062;"Sokolniki (2)";"ogółem";"2020";15;"-";"";
1018073;"Wieruszów (3)";"ogółem";"2020";54;"-";"";
1019011;"Zduńska Wola (1)";"ogółem";"2020";131;"-";"";
1019023;"Szadek (3)";"ogółem";"2020";38;"-";"";
1019032;"Zapolice (2)";"ogółem";"2020";19;"-";"";
1019042;"Zduńska Wola (2)";"ogółem";"2020";35;"-";"";
1020011;"Głowno (1)";"ogółem";"2020";42;"-";"";
1020021;"Ozorków (1)";"ogółem";"2020";81;"-";"";
1020031;"Zgierz (1)";"ogółem";"2020";172;"-";"";
1020043;"Aleksandrów Łódzki (3)";"ogółem";"2020";109;"-";"";
1020052;"Głowno (2)";"ogółem";"2020";19;"-";"";
1020062;"Ozorków (2)";"ogółem";"2020";26;"-";"";
1020072;"Parzęczew (2)";"ogółem";"2020";25;"-";"";
1020083;"Stryków (3)";"ogółem";"2020";43;"-";"";
1020092;"Zgierz (2)";"ogółem";"2020";52;"-";"";
1021011;"Brzeziny (1)";"ogółem";"2020";27;"-";"";
1021022;"Brzeziny (2)";"ogółem";"2020";16;"-";"";
1021032;"Dmosin (2)";"ogółem";"2020";28;"-";"";
1021042;"Jeżów (2)";"ogółem";"2020";10;"-";"";
1021052;"Rogów (2)";"ogółem";"2020";16;"-";"";
1061011;"Łódź (1)";"ogółem";"2020";2498;"-";"";
1062011;"Piotrków Trybunalski (1)";"ogółem";"2020";209;"-";"";
1063011;"Skierniewice (1)";"ogółem";"2020";193;"-";"";
1201011;"Bochnia (1)";"ogółem";"2020";102;"-";"";
1201022;"Bochnia (2)";"ogółem";"2020";90;"-";"";
1201032;"Drwinia (2)";"ogółem";"2020";16;"-";"";
1201042;"Lipnica Murowana (2)";"ogółem";"2020";28;"-";"";
1201052;"Łapanów (2)";"ogółem";"2020";45;"-";"";
1201063;"Nowy Wiśnicz (3)";"ogółem";"2020";60;"-";"";
1201072;"Rzezawa (2)";"ogółem";"2020";55;"-";"";
1201082;"Trzciana (2)";"ogółem";"2020";32;"-";"";
1201092;"Żegocina (2)";"ogółem";"2020";32;"-";"";
1202012;"Borzęcin (2)";"ogółem";"2020";52;"-";"";
1202023;"Brzesko (3)";"ogółem";"2020";138;"-";"";
1202033;"Czchów (3)";"ogółem";"2020";37;"-";"";
1202042;"Dębno (2)";"ogółem";"2020";69;"-";"";
1202052;"Gnojnik (2)";"ogółem";"2020";39;"-";"";
1202062;"Iwkowa (2)";"ogółem";"2020";30;"-";"";
1202072;"Szczurowa (2)";"ogółem";"2020";40;"-";"";
1203013;"Alwernia (3)";"ogółem";"2020";52;"-";"";
1203022;"Babice (2)";"ogółem";"2020";27;"-";"";
1203033;"Chrzanów (3)";"ogółem";"2020";151;"-";"";
1203043;"Libiąż (3)";"ogółem";"2020";80;"-";"";
1203053;"Trzebinia (3)";"ogółem";"2020";103;"-";"";
1204012;"Bolesław (2)";"ogółem";"2020";14;"-";"";
1204023;"Dąbrowa Tarnowska (3)";"ogółem";"2020";85;"-";"";
1204032;"Gręboszów (2)";"ogółem";"2020";7;"-";"";
1204042;"Mędrzechów (2)";"ogółem";"2020";19;"-";"";
1204052;"Olesno (2)";"ogółem";"2020";36;"-";"";
1204062;"Radgoszcz (2)";"ogółem";"2020";36;"-";"";
1204073;"Szczucin (3)";"ogółem";"2020";49;"-";"";
1205011;"Gorlice (1)";"ogółem";"2020";85;"-";"";
1205023;"Biecz (3)";"ogółem";"2020";74;"-";"";
1205033;"Bobowa (3)";"ogółem";"2020";50;"-";"";
1205042;"Gorlice (2)";"ogółem";"2020";58;"-";"";
1205052;"Lipinki (2)";"ogółem";"2020";31;"-";"";
1205062;"Łużna (2)";"ogółem";"2020";44;"-";"";
1205072;"Moszczenica (2)";"ogółem";"2020";23;"-";"";
1205082;"Ropa (2)";"ogółem";"2020";18;"-";"";
1205092;"Sękowa (2)";"ogółem";"2020";23;"-";"";
1205102;"Uście Gorlickie (2)";"ogółem";"2020";17;"-";"";
1206012;"Czernichów (2)";"ogółem";"2020";62;"-";"";
1206022;"Igołomia-Wawrzeńczyce (2)";"ogółem";"2020";20;"-";"";
1206032;"Iwanowice (2)";"ogółem";"2020";32;"-";"";
1206042;"Jerzmanowice-Przeginia (2)";"ogółem";"2020";35;"-";"";
1206052;"Kocmyrzów-Luborzyca (2)";"ogółem";"2020";53;"-";"";
1206063;"Krzeszowice (3)";"ogółem";"2020";111;"-";"";
1206072;"Liszki (2)";"ogółem";"2020";66;"-";"";
1206082;"Michałowice (2)";"ogółem";"2020";45;"-";"";
1206092;"Mogilany (2)";"ogółem";"2020";45;"-";"";
1206103;"Skała (3)";"ogółem";"2020";32;"-";"";
1206113;"Skawina (3)";"ogółem";"2020";171;"-";"";
1206123;"Słomniki (3)";"ogółem";"2020";43;"-";"";
1206132;"Sułoszowa (2)";"ogółem";"2020";25;"-";"";
1206143;"Świątniki Górne (3)";"ogółem";"2020";32;"-";"";
